#x_m,y_m,w_tr_right_m,w_tr_left_m
-27.98896300008158,-30.500974684693162,2,2
-28.203764929340675,-30.05795666377334,2,2
-28.417773481978223,-29.61456565204027,2,2
-28.63097154598496,-29.170791477510058,2,2
-28.843341980542014,-28.726623958959514,2,2
-29.0548676144494,-28.282052905036863,2,2
-29.26553124455265,-27.83706811337291,2,2
-29.475315638731566,-27.391659371901405,2,2
-29.68420352001397,-26.945816451065067,2,2
-29.892177580360453,-26.49952911032299,2,2
-30.09922047300198,-26.05278709434418,2,2
-30.30531481131166,-25.605580132339746,2,2
-30.510443167214756,-25.157897937174454,2,2
-30.714609709061655,-24.709737865783357,2,2
-30.917907648605812,-24.261128797219108,2,2
-31.120469168382908,-23.81211339214775,2,2
-31.322431410364004,-23.362736047931847,2,2
-31.523931569396474,-22.913041159816693,2,2
-31.725106940858552,-22.46307313649038,2,2
-31.92606022331306,-22.01286549878083,2,2
-32.12674611875029,-21.562405262153067,2,2
-32.32703573278239,-21.11165319666578,2,2
-32.52678682574691,-20.66056590801402,2,2
-32.72585706928123,-20.20910000271616,2,2
-32.92410409751013,-19.757212103619676,2,2
-33.121402096393126,-19.304866681853653,2,2
-33.31769861885677,-18.85206290139229,2,2
-33.51299259000692,-18.39882421538086,2,2
-33.70729227258317,-17.945178489844828,2,2
-33.90060608483561,-17.491153654078666,2,2
-34.09294259717133,-17.036777689175345,2,2
-34.284314085650784,-16.582072798396755,2,2
-34.474749328025375,-16.12703425070472,2,2
-34.66429090276263,-15.671634249178574,2,2
-34.85298378619499,-15.21584036006709,2,2
-35.04087263406641,-14.75961997995245,2,2
-35.22800182660309,-14.302940302903624,2,2
-35.41441369014409,-13.84577210641461,2,2
-35.60014145301351,-13.388104721470041,2,2
-35.78520900403046,-12.929946992722147,2,2
-35.96963834856442,-12.471311892395097,2,2
-36.153451562790835,-12.012212440265973,2,2
-36.336670792520266,-11.552661702978078,2,2
-36.519317912153994,-11.09267377625628,2,2
-36.70141308409847,-10.632267991287456,2,2
-36.882974362069426,-10.171470174425417,2,2
-37.06401943382911,-9.710307658928393,2,2
-37.244566096219856,-9.24880788731181,2,2
-37.424632248631966,-8.786998400956392,2,2
-37.60423673208983,-8.32490461232863,2,2
-37.783403233276125,-7.862539479895108,2,2
-37.962162218390425,-7.399898207710754,2,2
-38.140545645003456,-6.936971988506633,2,2
-38.31858546061562,-6.473751957916466,2,2
-38.49631361568049,-6.0102291909587935,2,2
-38.67376157809082,-5.546396018264157,2,2
-38.850957821372276,-5.082252734117307,2,2
-39.027926049864305,-4.617812416260669,2,2
-39.204688935694946,-4.153091102312323,2,2
-39.3812692139895,-3.688104886139821,2,2
-39.55768967975608,-3.2228699156230842,2,2
-39.73397313772301,-2.7574025092883856,2,2
-39.910142141110036,-2.2917198080034415,2,2
-40.086218764466544,-1.8258403431067634,2,2
-40.26222500659375,-1.3597830078730062,2,2
-40.438182907678964,-0.893566746794192,2,2
-40.61411454490505,-0.4272105517410777,2,2
-40.790042037625426,0.03926654485563359,2,2
-40.96598759886984,0.5058454914135629,2,2
-41.141973585787674,0.9725072392400309,2,2
-41.3180224038597,1.43923271947567,2,2
-41.494156474832906,1.9060028386050445,2,2
-41.67039823225046,2.3727984823690162,2,2
-41.84676999329872,2.8396005433897904,2,2
-42.023293203874196,3.306390067368816,2,2
-42.199987647729294,3.7731484006663094,2,2
-42.37687271080473,4.23985694391467,2,2
-42.55396776145446,4.706497081547487,2,2
-42.7312921463342,5.173050185704973,2,2
-42.908864458388734,5.6394980282364084,2,2
-43.08669798043434,6.105825337190842,2,2
-43.264795660187445,6.572022617403562,2,2
-43.44315802053912,7.038081719006438,2,2
-43.62178556388833,7.503994490843714,2,2
-43.8006787720457,7.969752781690784,2,2
-43.979837190702106,8.43534890501018,2,2
-44.15925350503551,8.900778639684088,2,2
-44.33890658594402,9.36604475084087,2,2
-44.51877207164309,9.831151631487762,2,2
-44.69882560833729,10.296103662215096,2,2
-44.87904285244072,10.7609052108067,2,2
-45.05939923678464,11.225560746490823,2,2
-45.23986836768513,11.690075619185306,2,2
-45.42041997892015,12.15445705370728,2,2
-45.601022911300966,12.618712702997174,2,2
-45.781646035740536,13.082850200383712,2,2
-45.962258255884215,13.546877158957649,2,2
-46.142828527882386,14.01080118525699,2,2
-46.32332598909538,14.474629983893276,2,2
-46.50372014049336,14.938371506956694,2,2
-46.68398060176969,15.40203374678067,2,2
-46.86407703616357,15.865624670734743,2,2
-47.0439791526687,16.329152220667137,2,2
-47.22365672293537,16.79262433526048,2,2
-47.40307970659194,17.25604914204989,2,2
-47.58221845644452,17.719435275611463,2,2
-47.76104345824831,18.182791470132642,2,2
-47.93952524905244,18.646126429398237,2,2
-48.117634418638495,19.109448826383925,2,2
-48.29534161827522,19.572767384900942,2,2
-48.472617638785344,20.036091758296124,2,2
-48.64943355958084,20.499434284420637,2,2
-48.82576055761392,20.962807930484306,2,2
-49.0015698461294,21.426225624898102,2,2
-49.17683267335282,21.88970025783105,2,2
-49.35152048540296,22.35324466058801,2,2
-49.52560793499042,22.816871218172043,2,2
-49.699080413852926,23.28059089917361,2,2
-49.87192597855994,23.744414298004777,2,2
-50.04413266411676,24.208351982338442,2,2
-50.21568848244146,24.672414494387223,2,2
-50.38657887209966,25.13661290336385,2,2
-50.55679135501278,25.60095733943541,2,2
-50.72632926188328,26.06545215201292,2,2
-50.895193198851196,26.530101650284255,2,2
-51.0633837450027,26.994910124680402,2,2
-51.23090144444456,27.45988185109353,2,2
-51.397746806462116,27.925021091169512,2,2
-51.563920288618604,28.390331900632688,2,2
-51.7294222478053,28.855817553435408,2,2
-51.89425299146206,29.321481072826547,2,2
-52.05841279814554,29.787325453541275,2,2
-52.22190191899754,30.253353676853717,2,2
-52.384720577857905,30.719568710653686,2,2
-52.546868939216594,31.1859734074389,2,2
-52.70834701035152,31.652570189660217,2,2
-52.869154723839316,32.119361303513216,2,2
